Area;MTU;Hydro - Actual Aggregated [MW];Nuclear  - Actual Aggregated [MW];Other renewable  - Actual Aggregated [MW];Solar  - Actual Aggregated [MW];Wind - Actual Aggregated [MW]
BZN|ES;11.03.2021 22:00 - 11.03.2021 23:00 (CET);6924;7104;107;247;7440
BZN|ES;11.03.2021 23:00 - 12.03.2021 00:00 (CET);4872;7106;107;233;7823
BZN|ES;12.03.2021 00:00 - 12.03.2021 01:00 (CET);4977;7107;102;228;7866
BZN|ES;12.03.2021 01:00 - 12.03.2021 02:00 (CET);4253;7110;99;187;7646
BZN|ES;12.03.2021 02:00 - 12.03.2021 03:00 (CET);4715;7107;103;161;7279
BZN|ES;12.03.2021 03:00 - 12.03.2021 04:00 (CET);5028;7109;105;122;7043
BZN|ES;12.03.2021 04:00 - 12.03.2021 05:00 (CET);4774;7109;104;82;7161
BZN|ES;12.03.2021 05:00 - 12.03.2021 06:00 (CET);4785;7110;102;82;6900
BZN|ES;12.03.2021 06:00 - 12.03.2021 07:00 (CET);5017;7110;99;69;6632
BZN|ES;12.03.2021 07:00 - 12.03.2021 08:00 (CET);7111;7107;101;108;6924
BZN|ES;12.03.2021 08:00 - 12.03.2021 09:00 (CET);8143;7109;111;1280;7025
BZN|ES;12.03.2021 09:00 - 12.03.2021 10:00 (CET);7161;7110;109;3669;6664
BZN|ES;12.03.2021 10:00 - 12.03.2021 11:00 (CET);6194;7108;106;5908;6962
