"MTU (CET),""Day-ahead Price [EUR/MWh]"",""BZN|ES"""
"18.03.2021 07:00 - 18.03.2021 08:00,""38.01"""
"18.03.2021 08:00 - 18.03.2021 09:00,""43.28"""
"18.03.2021 09:00 - 18.03.2021 10:00,""37.03"""
"18.03.2021 10:00 - 18.03.2021 11:00,""32.20"""
"18.03.2021 11:00 - 18.03.2021 12:00,""34.93"""
"18.03.2021 12:00 - 18.03.2021 13:00,""36.95"""
"18.03.2021 13:00 - 18.03.2021 14:00,""37.03"""
"18.03.2021 14:00 - 18.03.2021 15:00,""34.33"""
"18.03.2021 15:00 - 18.03.2021 16:00,""29.01"""
"18.03.2021 16:00 - 18.03.2021 17:00,""24.57"""
"18.03.2021 17:00 - 18.03.2021 18:00,""25.97"""
"18.03.2021 18:00 - 18.03.2021 19:00,""32.09"""
"18.03.2021 19:00 - 18.03.2021 20:00,""43.53"""
"18.03.2021 20:00 - 18.03.2021 21:00,""52.01"""
